,name,img,video
39,[15분 레시피] 레이먼킴 셰프의 '오 나의 소고기님',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190917_101640_143_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10321744/view
40,[15분 레시피] 레이먼킴 셰프의 '와인 아리랑',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190910_094812_836_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10320934/view
41,[15분 레시피] 정호영 셰프의 '옥돔이 뭐길래',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190910_094741_842_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10320932/view
42,[15분 레시피] 유현수 셰프의 '쌈밥의 여인',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190910_094706_201_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10320930/view
43,[15분 레시피] 이연복 셰프의 '바지락상회',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190910_094625_015_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10320928/view
44,[15분 레시피] 오세득 셰프의 '쌀와디캅',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190903_103823_766_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10319309/view
45,[15분 레시피] 송훈 셰프의 '쌀 스틸러',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190903_103659_034_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10319307/view
46,[15분 레시피] 샘킴 셰프의 '봉주르 부야베스',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190903_103609_916_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10319305/view
47,[15분 레시피] 김풍 작가의 '기절토풍',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190903_103514_304_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10319303/view
48,[15분 레시피] 정호영 셰프의 '고인돌 떡갈비',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190827_104557_249_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10316947/view
49,[15분 레시피] 김풍 작가의 '금 나와라 와라~ 금탕♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190827_104359_154_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10316945/view
50,[15분 레시피] 이연복 셰프의 '니들이 게살수프 맛을 알아?',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190827_104149_436_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10316943/view
51,[15분 레시피] 레이먼킴 셰프의 '생생 리소통',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190827_095410_001_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10316925/view
52,[15분 레시피] 오세득 셰프의 '패셔니스튜',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190820_113159_165_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10315521/view
53,[15분 레시피] 샘킴 셰프의 '시칠리아 정식~ 오 솔레미오♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190820_112956_418_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10315513/view
54,[15분 레시피] 유현수 셰프의 '밀가루 신상임당',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190820_112828_684_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10315511/view
55,[15분 레시피] 송훈 셰프의 '페이스트리 요정',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190820_112621_242_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10315505/view
56,[15분 레시피] 정호영 셰프의 '갈빗살 베스튜',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190813_111232_203_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10314390/view
57,[15분 레시피] 유현수 셰프의 '굴라시로 입맛 잡아!',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190813_111043_567_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10314388/view
58,[15분 레시피] 레이먼킴 셰프의 '갈치 한판승',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190813_110915_760_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10314386/view
59,[15분 레시피] 이연복 셰프의 '뭉쳐야 찐다',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190813_110746_103_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10314384/view
60,[15분 레시피] 샘킴 셰프의 '스파이시맨',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190806_112223_020_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10313144/view
61,[15분 레시피] 오세득 셰프의 '신(辛)봤다',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190806_112111_731_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10313142/view
62,[15분 레시피] 송훈 셰프의 '송훈각',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190806_111953_509_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10313140/view
63,[15분 레시피] 김풍 작가의 '풍화반점',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190806_111709_232_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10313136/view
